,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem,trafficSource.medium,device.isMobile,weekend_prop,hour,totals.hits.log,totals.pageviews.log,bounce_prop
4083,Referral,Chrome,desktop,Macintosh,referral,0,0.2857142857142857,7.5,2.3513752571634776,2.2512917986064953,0.0
4084,Organic Search,Chrome,desktop,Macintosh,organic,0,0.1666666666666666,18.5,2.0794415416798357,1.791759469228055,0.1666666666666666
4085,Referral,Chrome,desktop,Macintosh,referral,0,0.25,20.0,2.6026896854443837,2.3513752571634776,0.25
4086,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,2.6390573296152584,2.6390573296152584,0.0
4087,Organic Search,Chrome,desktop,Windows,organic,0,0.0,12.5,2.740840023925201,2.6390573296152584,0.0
4088,Direct,Chrome,desktop,Macintosh,(none),0,0.0,15.0,3.4657359027997265,3.2188758248682006,0.0
4089,Organic Search,Chrome,mobile,iOS,organic,1,1.0,13.0,3.7013019741124933,3.295836866004329,0.0
4090,Direct,Safari,tablet,iOS,(none),1,0.0,20.0,2.772588722239781,2.6390573296152584,0.0
4091,Referral,Chrome,desktop,Macintosh,referral,0,0.2,19.0,3.2188758248682006,2.833213344056216,0.0
4092,Referral,Chrome,desktop,Windows,referral,0,0.0,20.0,2.70805020110221,2.4849066497880004,0.0
4093,Referral,Chrome,desktop,Macintosh,referral,0,0.1666666666666666,17.0,2.302585092994046,2.0794415416798357,0.3333333333333333
4094,Direct,Chrome,desktop,Windows,(none),0,0.0,12.0,2.4423470353692043,2.302585092994046,0.0
4095,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,2.70805020110221,2.0794415416798357,0.0
4096,Organic Search,Chrome,desktop,Macintosh,organic,0,0.6666666666666666,4.0,2.6390573296152584,2.1972245773362196,0.0
4097,Paid Search,Chrome,desktop,Chrome OS,cpc,0,0.1428571428571428,6.0,1.0986122886681098,1.0986122886681098,0.1428571428571428
4098,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.5,1.9459101490553132,1.791759469228055,0.5
4099,Referral,Chrome,desktop,Linux,referral,0,0.0,15.0,3.8918202981106265,3.4965075614664802,0.0
4100,Referral,Chrome,desktop,Macintosh,referral,0,0.0,12.0,3.1780538303479458,3.0204248861443626,0.0
4101,Referral,Chrome,desktop,Macintosh,referral,0,0.0,22.0,2.6390573296152584,2.6390573296152584,0.0
4102,Organic Search,Chrome,mobile,Android,organic,1,0.0,5.0,2.302585092994046,2.302585092994046,0.2727272727272727
4103,Organic Search,Chrome,mobile,Android,organic,1,0.0,19.0,2.6741486494265287,2.6026896854443837,0.1666666666666666
4104,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,7.0,2.0794415416798357,1.9459101490553132,0.0
4105,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,5.0,1.9459101490553132,1.9459101490553132,0.2
4106,Direct,Chrome,desktop,Macintosh,(none),0,0.0,16.0,3.258096538021482,3.044522437723423,0.0
4107,Direct,Chrome,desktop,Windows,(none),0,1.0,3.0,3.5263605246161616,3.295836866004329,0.0
4108,Organic Search,Chrome,desktop,Windows,cpc,0,0.0,21.0,4.1666652238017265,3.901972669574645,0.0
4109,Referral,Chrome,desktop,Macintosh,referral,0,0.0,6.0,3.295836866004329,3.2188758248682006,0.0
4110,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,6.0,4.007333185232471,3.7376696182833684,0.0
4111,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,13.5,3.258096538021482,2.9444389791664403,0.0
4112,Organic Search,Chrome,tablet,iOS,organic,1,0.0,21.0,2.1972245773362196,1.791759469228055,0.0
4113,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,5.0,2.0794415416798357,1.9459101490553132,0.3333333333333333
4114,Referral,Chrome,desktop,Linux,referral,0,0.0,22.0,2.3978952727983707,2.3978952727983707,0.0
4115,Social,Chrome,desktop,Chrome OS,referral,0,0.0461538461538461,20.0,0.0,0.0,0.9230769230769232
4116,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.5,2.2512917986064953,2.0149030205422647,0.1666666666666666
4117,Direct,Chrome,desktop,Macintosh,(none),0,1.0,22.0,2.5649493574615367,2.4849066497880004,0.0
4118,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,15.0,0.6931471805599453,0.6931471805599453,0.0
4119,Referral,Chrome,desktop,Macintosh,referral,0,0.1428571428571428,17.0,1.3862943611198906,1.0986122886681098,0.0
4120,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.0149030205422647,1.9459101490553132,0.0
4121,Referral,Chrome,desktop,Macintosh,referral,0,1.0,20.0,4.07753744390572,3.912023005428146,0.0
4122,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,21.0,2.772588722239781,2.70805020110221,0.0
4123,Paid Search,Chrome,desktop,Windows,cpc,0,0.0,0.0,3.091042453358316,2.772588722239781,0.0
4124,Direct,Chrome,desktop,Macintosh,(none),0,0.0,16.0,2.5649493574615367,2.3978952727983707,0.0
4125,Direct,Safari,desktop,Macintosh,(none),0,0.0,12.0,3.1135153092103742,2.803360380906535,0.0
4126,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,3.258096538021482,3.091042453358316,0.0
4127,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,22.0,3.332204510175204,3.1780538303479458,0.0
4128,Organic Search,Chrome,desktop,Windows,organic,0,0.3333333333333333,8.0,2.70805020110221,2.4849066497880004,0.0
4129,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,11.0,2.5257286443082556,2.302585092994046,0.0
4130,Organic Search,Chrome,desktop,Macintosh,cpc,0,1.0,19.0,1.8718021769015913,1.7047480922384253,0.5
4131,Direct,Chrome,desktop,Windows,(none),0,0.25,14.5,3.332204510175204,2.9444389791664403,0.0
4132,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,3.044522437723423,2.9444389791664403,0.0
4133,Referral,Chrome,desktop,Macintosh,referral,0,0.25,11.5,2.8622008809294686,2.6741486494265287,0.0
4134,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,4.060443010546419,3.7013019741124933,0.0
4135,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.4849066497880004,2.3978952727983707,0.2
4136,Organic Search,Chrome,desktop,Windows,organic,0,0.0,23.0,1.3862943611198906,1.3862943611198906,0.3333333333333333
4137,Referral,Chrome,desktop,Macintosh,referral,0,0.1428571428571428,15.0,2.1972245773362196,2.1972245773362196,0.0
4138,Referral,Chrome,desktop,Macintosh,referral,0,0.1428571428571428,16.0,0.6931471805599453,0.6931471805599453,0.4285714285714285
4139,Direct,Safari,desktop,Macintosh,(none),0,0.0,14.0,2.6390573296152584,2.6390573296152584,0.0
4140,Referral,Chrome,desktop,Macintosh,referral,0,0.1666666666666666,17.5,2.2512917986064953,2.1972245773362196,0.1666666666666666
4141,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.5,21.0,3.2771447329921766,3.0204248861443626,0.0
4142,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.6666666666666666,16.0,2.772588722239781,2.70805020110221,0.0
4143,Referral,Chrome,desktop,Windows,referral,0,0.0,19.5,3.5409593240373143,3.3141860046725258,0.0
4144,Direct,Chrome,desktop,Macintosh,(none),0,0.0,3.0,3.068052935133617,2.8903717578961645,0.125
4145,Direct,Chrome,desktop,Windows,(none),0,0.0,20.5,2.6741486494265287,2.4423470353692043,0.0
4146,Referral,Chrome,desktop,Linux,referral,0,0.0,8.5,2.0794415416798357,1.791759469228055,0.0
4147,Paid Search,Chrome,tablet,Android,cpc,1,0.0,7.0,4.448516375942715,4.119037174812473,0.0
4148,Organic Search,Firefox,desktop,Windows,organic,0,0.25,8.0,2.0794415416798357,2.0794415416798357,0.0
4149,Organic Search,Chrome,desktop,Windows,organic,0,0.8571428571428571,19.0,2.6390573296152584,2.3978952727983707,0.0
4150,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,3.7376696182833684,3.5553480614894135,0.0
4151,Organic Search,Chrome,desktop,Windows,organic,0,0.0,16.0,2.4423470353692043,2.302585092994046,0.25
4152,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,3.0,3.5263605246161616,3.332204510175204,0.0
4153,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.5,3.1780538303479458,2.917770732084279,0.0
4154,Organic Search,Chrome,desktop,Windows,organic,0,0.0,16.0,0.6931471805599453,0.6931471805599453,0.2
4155,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,19.0,3.1780538303479458,2.9444389791664403,0.3333333333333333
4156,Organic Search,Chrome,desktop,Windows,organic,0,0.1666666666666666,5.5,2.0794415416798357,2.0794415416798357,0.0833333333333333
4157,Referral,Chrome,desktop,Linux,referral,0,0.1666666666666666,17.5,3.044522437723423,2.8903717578961645,0.1666666666666666
4158,Paid Search,Chrome,desktop,Macintosh,cpc,0,1.0,3.0,2.6390573296152584,2.6390573296152584,0.0
4159,Referral,Chrome,desktop,Windows,referral,0,0.6666666666666666,17.0,2.6390573296152584,2.4849066497880004,0.0
4160,Organic Search,Safari,mobile,iOS,organic,1,0.0,0.0,4.204692619390966,3.8501476017100584,0.0
4161,Direct,Safari,tablet,iOS,(none),1,0.0,16.0,2.302585092994046,2.1972245773362196,0.0
4162,Organic Search,Firefox,desktop,Windows,organic,0,1.0,23.0,2.917770732084279,2.6741486494265287,0.5
4163,Organic Search,Chrome,desktop,Windows,organic,0,0.0,18.0,3.091042453358316,2.833213344056216,0.0
4164,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,1.0986122886681098,0.6931471805599453,0.3333333333333333
4165,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,2.6390573296152584,2.3978952727983707,0.25
4166,Referral,Chrome,desktop,Linux,referral,0,0.0,17.0,2.6390573296152584,1.9459101490553132,0.0
4167,Referral,Chrome,desktop,Chrome OS,referral,0,0.25,3.5,2.302585092994046,2.0794415416798357,0.0
4168,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.0,5.5,2.6026896854443837,2.4423470353692043,0.0
4169,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.0,2.1972245773362196,2.1972245773362196,0.1428571428571428
4170,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,17.0,2.4423470353692043,2.3513752571634776,0.0
4171,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,16.0,2.5257286443082556,2.3513752571634776,0.0
4172,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.0,0.0,2.70805020110221,2.4423470353692043,0.0
4173,Direct,Chrome,desktop,Macintosh,(none),0,0.0,22.0,2.3978952727983707,2.2512917986064953,0.5
4174,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,18.0,3.367295829986474,3.044522437723423,0.0
4175,Display,Chrome,desktop,Linux,cpm,0,0.0,16.0,1.9459101490553132,1.9459101490553132,0.0909090909090909
4176,Referral,Chrome,desktop,Macintosh,referral,0,0.1,18.5,1.7047480922384253,1.3862943611198906,0.1
4177,Direct,Chrome,desktop,Macintosh,(none),0,0.0,15.0,3.1354942159291497,2.772588722239781,0.3333333333333333
4178,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,22.0,3.871201010907891,3.58351893845611,0.0
4179,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,21.0,3.044522437723423,2.772588722239781,0.0
4180,Direct,Chrome,desktop,Macintosh,(none),0,0.0,19.0,2.772588722239781,2.5649493574615367,0.0
4181,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,8.0,2.6026896854443837,2.4423470353692043,0.0
4182,Direct,Chrome,desktop,Macintosh,(none),0,0.0,15.0,3.091042453358316,2.917770732084279,0.0
4183,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,3.332204510175204,3.1780538303479458,0.0
4184,Direct,Chrome,desktop,Macintosh,(none),0,0.0,22.0,2.9444389791664403,2.8903717578961645,0.0
4185,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.5,3.58351893845611,3.3141860046725258,0.0
4186,Direct,Chrome,desktop,Macintosh,(none),0,0.0,9.0,3.295836866004329,3.044522437723423,0.0
4187,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,23.0,2.5649493574615367,2.4849066497880004,0.25
4188,Referral,Chrome,desktop,Macintosh,referral,0,0.2,16.0,1.791759469228055,1.791759469228055,0.2
4189,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,2.70805020110221,2.6026896854443837,0.25
4190,Direct,Chrome,desktop,Macintosh,(none),0,0.3333333333333333,17.0,2.3978952727983707,1.9459101490553132,0.3333333333333333
4191,Referral,Chrome,desktop,Macintosh,referral,0,0.0,4.0,3.58351893845611,3.4011973816621555,0.0
4192,Display,Chrome,desktop,Macintosh,cpm,0,0.0,16.5,1.8718021769015913,1.6094379124341003,0.25
4193,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.5,4.119037174812473,3.6888794541139363,0.0
4194,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.70805020110221,2.5649493574615367,0.0
4195,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,11.0,2.3513752571634776,2.1400661634962708,0.0
4196,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.0,1.3862943611198906,1.3862943611198906,0.3333333333333333
4197,Direct,Chrome,desktop,Macintosh,(none),0,0.0,2.5,2.9444389791664403,2.6741486494265287,0.0
4198,Referral,Chrome,desktop,Macintosh,referral,0,0.1538461538461538,17.0,1.6094379124341003,1.6094379124341003,0.0
4199,Direct,Chrome,mobile,Android,(none),1,0.0,15.5,3.7954891891721947,3.5409593240373143,0.0
4200,Paid Search,Chrome,desktop,Windows,cpc,0,0.0,23.0,3.4011973816621555,3.258096538021482,0.0
4201,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,12.0,2.1400661634962708,1.9459101490553132,0.25
4202,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,1.9459101490553132,1.6094379124341003,0.2
4203,Paid Search,Chrome,desktop,Windows,cpc,0,0.0,13.0,4.663439094112067,4.30406509320417,0.0
4204,Referral,Chrome,desktop,Linux,referral,0,0.0,17.0,2.0794415416798357,1.6094379124341003,0.0
4205,Paid Search,Chrome,desktop,Windows,cpc,0,1.0,11.0,3.1780538303479458,3.068052935133617,0.0
4206,Organic Search,Chrome,desktop,Windows,organic,0,0.0,9.0,4.060443010546419,3.8815637979434374,0.0
4207,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,3.0,3.5263605246161616,3.332204510175204,0.0
4208,Organic Search,Chrome,desktop,Windows,organic,0,0.0,4.0,1.9459101490553132,1.9459101490553132,0.2
4209,Direct,Chrome,desktop,Windows,(none),0,0.0,15.0,1.252762968495368,1.252762968495368,0.25
4210,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,22.0,1.791759469228055,1.6094379124341003,0.1428571428571428
4211,Referral,Chrome,desktop,Macintosh,referral,0,0.25,11.0,1.0986122886681098,1.0986122886681098,0.125
4212,Referral,Chrome,desktop,Macintosh,referral,0,1.0,6.0,3.044522437723423,2.833213344056216,0.0
4213,Direct,Chrome,desktop,Windows,(none),0,0.0,21.0,3.8394523125933104,3.58351893845611,0.0
4214,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,16.0,3.5263605246161616,3.258096538021482,0.0
4215,Direct,Chrome,desktop,Windows,(none),0,0.0,23.0,3.1354942159291497,2.8903717578961645,0.0
4216,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,21.0,1.791759469228055,1.791759469228055,0.0
4217,Referral,Chrome,desktop,Linux,referral,0,0.0,14.0,1.791759469228055,1.791759469228055,0.0
4218,Referral,Chrome,desktop,Linux,referral,0,0.0,20.0,3.295836866004329,3.091042453358316,0.0
4219,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.0,1.0986122886681098,1.0986122886681098,0.3333333333333333
4220,Referral,Chrome,desktop,Macintosh,referral,0,0.0,10.0,2.5649493574615367,2.3513752571634776,0.0
4221,Direct,Chrome,desktop,Chrome OS,(none),0,0.0,15.0,2.9444389791664403,2.6741486494265287,0.0
4222,Display,Chrome,desktop,Linux,cpm,0,0.6666666666666666,3.0,3.828641396489095,3.4965075614664802,0.0
4223,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.970414465569701,2.70805020110221,0.25
4224,Direct,Chrome,tablet,Android,(none),1,0.0,17.0,1.9459101490553132,1.9459101490553132,0.0
4225,Referral,Chrome,desktop,Macintosh,referral,0,0.0,2.0,1.9459101490553132,1.9459101490553132,0.0
4226,Direct,Chrome,desktop,Windows,(none),0,0.0,17.5,2.0149030205422647,2.0149030205422647,0.0
4227,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,22.5,2.9444389791664403,2.70805020110221,0.0
4228,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,3.349904087274605,3.044522437723423,0.25
4229,Referral,Chrome,desktop,Windows,referral,0,0.0,4.0,2.6390573296152584,2.4849066497880004,0.0
4230,Referral,Chrome,desktop,Macintosh,referral,0,0.1666666666666666,17.0,1.3862943611198906,1.3862943611198906,0.2222222222222222
4231,Referral,Chrome,desktop,Macintosh,referral,0,0.0,23.0,4.0943445622221,3.7612001156935624,0.0
4232,Direct,Internet Explorer,desktop,Windows,(none),0,0.0,5.0,4.143134726391533,3.8066624897703196,0.0
4233,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,1.3862943611198906,1.0986122886681098,0.3333333333333333
4234,Referral,Chrome,desktop,Macintosh,referral,0,1.0,2.0,3.091042453358316,2.995732273553991,0.0
4235,Referral,Chrome,desktop,Linux,referral,0,0.0,23.0,3.4657359027997265,3.258096538021482,0.0
4236,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,17.0,1.6094379124341003,1.6094379124341003,0.1428571428571428
4237,Direct,Safari,mobile,iOS,(none),1,0.0,2.0,3.828641396489095,3.4965075614664802,0.0
4238,Referral,Chrome,desktop,Macintosh,referral,0,0.0,22.0,2.772588722239781,2.772588722239781,0.0
4239,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,3.8918202981106265,3.1780538303479458,0.0
4240,Direct,Chrome,desktop,Macintosh,(none),0,0.0,16.5,1.0986122886681098,1.0986122886681098,0.125
4241,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,20.5,2.4849066497880004,2.302585092994046,0.0
4242,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,2.70805020110221,2.6390573296152584,0.0
4243,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.995732273553991,2.6390573296152584,0.0
4244,Organic Search,Safari,mobile,iOS,organic,1,0.0,9.0,3.044522437723423,3.044522437723423,0.0
4245,Organic Search,Chrome,desktop,Windows,organic,0,0.0,15.0,1.0986122886681098,1.0986122886681098,0.2
4246,Organic Search,Chrome,desktop,Windows,organic,0,0.75,3.5,1.0986122886681098,1.0986122886681098,0.25
4247,Organic Search,Safari,mobile,iOS,organic,1,0.0,23.0,3.1780538303479458,2.995732273553991,0.0
4248,Direct,Chrome,desktop,Windows,(none),0,0.0,4.0,2.70805020110221,2.5649493574615367,0.0
4249,Paid Search,Chrome,mobile,Android,cpc,1,0.4,19.0,1.791759469228055,1.791759469228055,0.0
4250,Paid Search,Internet Explorer,desktop,Windows,cpc,0,0.0,20.0,3.4657359027997265,3.1354942159291497,0.0
4251,Referral,Chrome,desktop,Macintosh,referral,0,0.0,0.0,2.9444389791664403,2.8903717578961645,0.0
4252,Referral,Chrome,desktop,Linux,referral,0,0.0,16.5,3.044522437723423,2.803360380906535,0.0
4253,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,14.0,2.0149030205422647,2.0149030205422647,0.5
4254,Referral,Chrome,desktop,Macintosh,referral,0,0.0,12.0,1.3862943611198906,1.3862943611198906,0.2857142857142857
4255,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,3.2188758248682006,2.9444389791664403,0.0
4256,Direct,Chrome,desktop,Linux,(none),0,0.4,4.0,0.0,0.0,0.6
4257,Referral,Chrome,desktop,Macintosh,referral,0,0.5,18.0,2.4849066497880004,2.3513752571634776,0.0
4258,Direct,Firefox,desktop,Windows,(none),0,0.0,3.0,3.6109179126442243,3.367295829986474,0.0
4259,Referral,Chrome,desktop,Macintosh,referral,0,0.0,22.0,3.713572066704308,3.332204510175204,0.3333333333333333
4260,Direct,Chrome,mobile,Android,(none),1,0.0,9.0,3.5553480614894135,3.332204510175204,0.0
4261,Organic Search,Chrome,tablet,Android,organic,1,0.3333333333333333,22.0,0.6931471805599453,0.6931471805599453,0.5
4262,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.0,3.332204510175204,3.044522437723423,0.0
4263,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,15.0,2.8903717578961645,2.772588722239781,0.0
4264,Direct,Chrome,desktop,Macintosh,(none),0,0.25,16.5,2.1972245773362196,1.8718021769015913,0.0
4265,Referral,Chrome,desktop,Macintosh,referral,0,1.0,18.0,3.6109179126442243,3.367295829986474,0.0
4266,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,1.6094379124341003,1.3862943611198906,0.0
4267,Direct,Chrome,desktop,Windows,(none),0,0.0,3.0,2.8903717578961645,2.70805020110221,0.0
4268,Referral,Chrome,desktop,Macintosh,referral,0,0.0,13.0,3.068052935133617,2.8903717578961645,0.5
4269,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,19.5,2.740840023925201,2.4849066497880004,0.0
4270,Paid Search,Safari,mobile,iOS,cpc,1,0.6666666666666666,17.0,0.0,0.0,0.6666666666666666
4271,Organic Search,Safari,desktop,Macintosh,organic,0,1.0,20.0,3.091042453358316,2.995732273553991,0.0
4272,Referral,Chrome,desktop,Linux,referral,0,0.0,0.0,2.9444389791664403,2.833213344056216,0.0
4273,Direct,Chrome,desktop,Windows,(none),0,0.0,20.0,2.302585092994046,2.1972245773362196,0.0
4274,Organic Search,Safari,desktop,Macintosh,organic,0,0.5,12.5,3.1780538303479458,3.068052935133617,0.0
4275,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,2.833213344056216,2.70805020110221,0.0
4276,Direct,Chrome,desktop,Linux,(none),0,0.75,16.5,2.2512917986064953,1.8718021769015913,0.0
4277,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,2.3513752571634776,2.3513752571634776,0.0
4278,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,8.5,3.2771447329921766,3.044522437723423,0.0
4279,Referral,Chrome,desktop,Macintosh,referral,0,1.0,15.0,3.4965075614664802,2.995732273553991,0.0
4280,Referral,Chrome,desktop,Macintosh,referral,0,0.0,7.0,2.6390573296152584,2.1972245773362196,0.0
4281,Referral,Chrome,desktop,Macintosh,referral,0,0.0,2.0,1.9459101490553132,1.6094379124341003,0.3333333333333333
4282,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,13.0,0.6931471805599453,0.6931471805599453,0.3333333333333333
4283,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.5,21.0,2.1400661634962708,1.8718021769015913,0.5
4284,Display,Chrome,desktop,Windows,cpm,0,0.0,17.0,2.302585092994046,2.302585092994046,0.2727272727272727
4285,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.5,1.0986122886681098,1.0986122886681098,0.0
4286,Direct,Chrome,desktop,Windows,(none),0,0.0,3.0,2.5649493574615367,2.5649493574615367,0.0
4287,Referral,Chrome,desktop,Windows,referral,0,0.0,18.5,0.9162907318741551,0.9162907318741551,0.1666666666666666
4288,Paid Search,Firefox,desktop,Windows,cpc,0,0.0,20.0,3.828641396489095,3.5263605246161616,0.0
4289,Organic Search,Safari,tablet,iOS,organic,1,0.0,14.0,2.6390573296152584,2.302585092994046,0.0
4290,Paid Search,Chrome,desktop,Chrome OS,cpc,0,0.4,14.0,0.4054651081081644,0.4054651081081644,0.5
4291,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,17.5,2.0794415416798357,1.9459101490553132,0.1666666666666666
4292,Organic Search,Chrome,desktop,Windows,organic,0,0.5,13.5,2.0794415416798357,2.0149030205422647,0.25
4293,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.0,3.713572066704308,3.367295829986474,0.0
4294,Paid Search,Chrome,desktop,Windows,cpc,0,0.2935323383084577,10.0,0.0,0.0,0.9253731343283582
4295,Direct,Chrome,desktop,Windows,(none),0,0.0,13.0,2.833213344056216,2.772588722239781,0.0
4296,Direct,Chrome,mobile,iOS,(none),1,0.0,7.0,3.4965075614664802,3.332204510175204,0.0
4297,Direct,Safari,desktop,Macintosh,(none),0,0.0,0.5,3.417726683613366,3.068052935133617,0.0
4298,Paid Search,Chrome,desktop,Chrome OS,cpc,0,0.0,22.0,3.332204510175204,2.995732273553991,0.0
4299,Organic Search,Chrome,mobile,iOS,organic,1,0.0,2.5,3.1780538303479458,2.8903717578961645,0.5
4300,Direct,Safari,mobile,iOS,(none),1,0.2857142857142857,13.0,1.6094379124341003,1.6094379124341003,0.4285714285714285
4301,Direct,Chrome,desktop,Windows,(none),0,0.0,19.0,3.044522437723423,2.6390573296152584,0.0
4302,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,15.0,4.948759890378168,4.564348191467836,0.0
4303,Organic Search,Chrome,desktop,Windows,organic,0,0.0,4.5,2.6026896854443837,2.3513752571634776,0.0
4304,Organic Search,Chrome,desktop,Windows,organic,0,0.0,14.0,2.3978952727983707,1.9459101490553132,0.3333333333333333
4305,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,0.0,4.060443010546419,3.8066624897703196,0.0
4306,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.5,2.740840023925201,2.4849066497880004,0.0
4307,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,2.1400661634962708,2.0149030205422647,0.5
4308,Organic Search,Chrome,desktop,Windows,organic,0,0.0,23.0,2.1972245773362196,2.1972245773362196,0.0
4309,Social,Chrome,desktop,Macintosh,referral,0,0.0,1.0,2.6390573296152584,2.5649493574615367,0.0
4310,Organic Search,Safari,tablet,iOS,organic,1,0.0,21.5,3.58351893845611,3.417726683613366,0.0
4311,Referral,Chrome,desktop,Macintosh,referral,0,0.5,17.5,2.4849066497880004,2.4423470353692043,0.3333333333333333
4312,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,3.4965075614664802,3.258096538021482,0.0
4313,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.0794415416798357,2.0794415416798357,0.0
4314,Organic Search,Safari,mobile,iOS,cpc,1,1.0,5.0,2.6390573296152584,2.4849066497880004,0.5
4315,Direct,Chrome,desktop,Macintosh,(none),0,0.0,23.0,2.1972245773362196,2.1972245773362196,0.3333333333333333
4316,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,20.0,3.4339872044851463,3.332204510175204,0.0
4317,Direct,Chrome,mobile,Android,(none),1,0.0,5.0,3.4657359027997265,3.258096538021482,0.0
4318,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,12.0,3.58351893845611,3.2188758248682006,0.0
4319,Direct,Chrome,desktop,Macintosh,(none),0,0.0,13.0,4.430816798843313,4.0943445622221,0.0
4320,Referral,Chrome,desktop,Windows,referral,0,0.0,20.0,2.0794415416798357,2.0794415416798357,0.1111111111111111
4321,Organic Search,Chrome,desktop,Windows,organic,0,0.0625,19.5,2.772588722239781,2.3978952727983707,0.1875
4322,Organic Search,Chrome,desktop,Windows,organic,0,1.0,16.0,2.4849066497880004,2.3978952727983707,0.0
4323,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,17.0,2.302585092994046,2.1400661634962708,0.0
